"productoCompra","descripcion","precioUnidad"
"Eventos BBC","Bodas bautizos y comuniones","1500"
"Restauración Fotos","En papel o digital 1 hora","250"
"Catálogo de fotos","Digitalizar fotos 1 hora","100"
"Rueda de prensa","Rueda de prensa 1 hora","150"
"Eventos deportivos","Evento deportivo 3 horas","500"
"Reportaje fotográfico","Reportaje fotográfico 4 horas","600"
"Reportaje especial","Reportaje fotográfico 8 horas","1000"
"Banco imágenes","Comprar fotos web 1 foto","100"
"Elecciones seguimiento","Seguimiento candidato/a 1 día","1000"
"Fuji XT-4 ocasión","En buen estado 1 unidad","1000"
"iMac 27 5K ocasión","En buen estado 1 unidad","1000"
"Fujinon 16-80 F4 ocasión","En buen estado 1 unidad","500"
"Fujinon 100-400 F4-F5.6 ocasión","En buen estado 1 unidad","500"
"Macbook Pro 16 ocasión","En buen estado 1 unidad","1000"
