"productoCompra","descripcion","precioUnidad"
"Fuji XT-4","Cámara mirrorless","1500"
"Fujinon 100-400 F4-5.6","Zoom luminoso","1800"
"Fujinon 16-80 F4","Angular luminoso","800"
"Flash Godox","Cabezal Flash orientable","330"
"Macbook Pro 16","Portatil edición fotos","2400"
"Bolsa tenba","Bolsa material fotográfico","150"
"iPhone 12 Pro","Móvil","1300"
"iMac 27 5K","Ordenador  de mesa","2500"
"Lector de tarjetas","Lector tarjetas CF","13"
"Mifi Netgear","Wifi Portatil 4G","250"
"Pilas recargabales Eneloop","Pack 4 pilas","18"
"Tapas objetivos","Tapa 77 mm.","5"
"SD Sandisk 512 Gb","Tarjeta SD","30"
"Disco duro externo 2TB","Disco duro","450"
"Arreglo cámaras","Depende del material","100"
"Limpieza oficina","Limpiar diariamente oficina 1 mes","750"
"Alquiler coches","Alquiler mensual","500"
"Menú Comida","Comer en horas de trabajo","12"
"Seguridad oficina","Vigilancia oficina 24h mensualmente","350"
"Calefacción oficina","Gasto calefacción mensual","200"
"Arreglo equipos informatico","Precio por 1 hora","100"
"Internet y telefonía","Tarifa plana mensual telefonia","850"
